Transaction_ID,Date,Country,Region,City,Customer_ID,Product_Category,Product_Name,Units_Sold,Unit_Price,Currency,Discount_pct,Total_Sales,Channel,Payment_Method,Returned,Repeat_Customer,Delivery_Time_Days,Gross_Margin_pct,Profit
TXN0000001,15-06-2022,India,Mumbai,Mumbai,CUST000716,Clothing,T-shirt,3,70895,INR,0,212685,Online,PayPal,0,0,3,0.251,53383.94
TXN0000002,19-06-2024,India,Hyderabad,Hyderabad,CUST000077,Electronics,Smartphone,9,97853,INR,5,836643.15,Retail,Credit Card,0,1,1,0.282,235933.37
TXN0000003,27-12-2024,India,Kolkata,Kolkata,CUST001611,Electronics,T-shirt,5,43224,INR,10,194508,Retail,Debit Card,0,1,8,0.15,29176.2
TXN0000004,25-08-2022,India,Jaipur,Jaipur,CUST000080,Beauty,Sofa,7,21741,INR,5,144577.65,Retail,Debit Card,0,0,3,0.204,29493.84
TXN0000005,05-06-2025,India,Lucknow,Lucknow,CUST000912,Furniture,Laptop,2,49203,INR,0,98406,Online,PayPal,0,0,8,0.105,10332.63
TXN0000006,16-04-2023,India,Hyderabad,Hyderabad,CUST000436,Sports,Sofa,6,20900,INR,0,125400,Retail,Debit Card,0,1,10,0.068,8527.2
TXN0000007,21-12-2024,India,Mumbai,Mumbai,CUST001817,Clothing,Snacks Pack,1,18799,INR,0,18799,Retail,Cash,0,0,11,0.129,2425.07
TXN0000008,15-05-2022,India,Bengaluru,Bengaluru,CUST000035,Clothing,Action Figure,8,74263,INR,5,564398.8,Retail,Net Banking,0,0,7,0.296,167062.04
TXN0000009,04-08-2024,India,Delhi,Delhi,CUST000583,Toys,Snacks Pack,1,7009,INR,15,5957.65,Retail,Cash,0,1,8,0.281,1674.1
TXN0000010,09-06-2022,India,Bengaluru,Bengaluru,CUST000212,Food,Laptop,3,66710,INR,5,190123.5,Retail,UPI,0,1,5,0.121,23004.94
TXN0000011,11-09-2023,India,Mumbai,Mumbai,CUST000283,Electronics,Smartphone,6,17465,INR,30,73353,Retail,Cash,0,0,4,0.069,5061.36
TXN0000012,21-04-2024,India,Delhi,Delhi,CUST002781,Food,Headphones,8,10659,INR,15,72481.2,Online,Debit Card,0,1,9,0.299,21671.88
TXN0000013,25-01-2024,India,Ahmedabad,Ahmedabad,CUST002186,Electronics,Sofa,1,65308,INR,0,65308,Retail,Credit Card,0,0,2,0.236,15412.69
TXN0000014,25-01-2024,India,Bengaluru,Bengaluru,CUST000587,Toys,Headphones,4,5824,INR,30,16307.2,Retail,Net Banking,0,0,3,0.077,1255.65
TXN0000015,29-01-2025,India,Jaipur,Jaipur,CUST002964,Toys,Headphones,3,93814,INR,10,253297.8,Retail,Net Banking,0,0,2,0.263,66617.32
TXN0000016,02-06-2025,India,Chennai,Chennai,CUST001697,Electronics,Smartphone,1,65281,INR,25,48960.75,Online,Net Banking,0,0,13,0.206,10085.91
TXN0000017,29-07-2025,India,Delhi,Delhi,CUST001771,Food,Tennis Racket,5,58175,INR,0,290875,Retail,UPI,0,1,2,0.091,26469.62
TXN0000018,09-07-2023,India,Pune,Pune,CUST000485,Food,Perfume,8,96056,INR,5,730025.6,Retail,Net Banking,0,1,4,0.056,40881.43
TXN0000019,20-10-2025,India,Jaipur,Jaipur,CUST002806,Food,Laptop,7,17845,INR,20,99932,Online,PayPal,0,0,6,0.302,30179.46
TXN0000020,03-09-2025,India,Kolkata,Kolkata,CUST002501,Sports,Microwave,3,17228,INR,10,46515.6,Online,UPI,0,0,4,0.135,6279.61
